lex1;lex_utf81
B;ב
R>CJT/;ראשׁית֜
BR>[;ברא
>LHJM/;אלהים֜
>T;את
H;ה
CMJM/;שׁמים֜
W;ו
>RY/;ארץ֜
HJH[;היה
THW/;תהו֜
BHW/;בהו֜
XCK/;חשׁך֜
<L;על
PNH/;פנה֜
THWM/;תהום֜
RWX/;רוח֜
RXP[;רחף
MJM/;מים֜
>MR[;אמר
>WR/;אור֜
R>H[;ראה
KJ;כי
VWB[;טוב
BDL[;בדל
BJN/;בין֜
QR>[;קרא
L;ל
JWM/;יום֜
LJLH/;לילה֜
<RB/;ערב֜
BQR=/;בקר֜
>XD/;אחד֜
RQJ</;רקיע֜
TWK/;תוך֜
<FH[;עשׂה
>CR;אשׁר
MN;מן
TXT/;תחת֜
KN;כן
CNJ/;שׁני֜
QWH=[;קוה
>L;אל
MQWM/;מקום֜
JBCH/;יבשׁה֜
MQWH/;מקוה֜
JM/;ים֜
DC>[;דשׁא
DC>/;דשׁא֜
<FB/;עשׂב֜
ZR<[;זרע
ZR</;זרע֜
<Y/;עץ֜
PRJ/;פרי֜
MJN/;מין֜
JY>[;יצא
CLJCJ/;שׁלישׁי֜
M>WR/;מאור֜
>WT/;אות֜
MW<D/;מועד֜
CNH/;שׁנה֜
>WR[;אור
CNJM/;שׁנים֜
GDWL/;גדול֜
MMCLT/;ממשׁלת֜
QVN/;קטן֜
KWKB/;כוכב֜
NTN[;נתן
MCL[;משׁל
RBJ<J/;רביעי֜
CRY[;שׁרץ
CRY/;שׁרץ֜
NPC/;נפשׁ֜
XJ/;חי֜
<WP/;עוף֜
<WP[;עוף
TNJN/;תנין֜
KL/;כל֜
RMF[;רמשׂ
KNP/;כנף֜
BRK[;ברך
PRH[;פרה
RBH[;רבה
ML>[;מלא
XMJCJ/;חמישׁי֜
BHMH/;בהמה֜
RMF/;רמשׂ֜
XJH/;חיה֜
>DMH/;אדמה֜
>DM/;אדם֜
YLM/;צלם֜
K;כ
DMWT/;דמות֜
RDH[;רדה
DGH/;דגה֜
ZKR=/;זכר֜
NQBH/;נקבה֜
KBC[;כבשׁ
HNH;הנה
>KLH/;אכלה֜
JRQ/;ירק֜
VWB/;טוב֜
M>D/;מאד֜
CCJ/;שׁשׁי֜
KLH[;כלה
YB>/;צבא֜
CBJ<J/;שׁביעי֜
ML>KT/;מלאכת֜
CBT[;שׁבת
QDC[;קדשׁ
>LH;אלה
TWLDWT/;תולדות֜
JHWH/;יהוה֜
FJX/;שׂיח֜
FDH/;שׂדה֜
VRM/;טרם֜
YMX[;צמח
L>;לא
MVR[;מטר
>JN/;אין֜
<BD[;עבד
>D/;אד֜
<LH[;עלה
CQH[;שׁקה
JYR[;יצר
<PR/;עפר֜
NPX[;נפח
>P/;אף֜
NCMH/;נשׁמה֜
XJJM/;חיים֜
NV<[;נטע
GN/;גן֜
<DN=/;עדן֜
QDM/;קדם֜
FJM[;שׂים
CM;שׁם
XMD[;חמד
MR>H/;מראה֜
M>KL/;מאכל֜
D<T/;דעת֜
R</;רע֜
NHR/;נהר֜
PRD[;פרד
>RB</;ארבע֜
R>C/;ראשׁ֜
